ID,事件名称,事件简介,事件效果,持续回合数
1,灰烬星球,无数的火山都开始了爆发，从熔岩口里喷出的烟尘罩住了整个天空,化合效率减半，叶绿体全部失去作用,5
2,生产者之灾,在一种突如其来的疾病影响下，所有的生产者都死亡了，饥饿的你们看向同样饥肠辘辘的其他捕食者,化合效率*0,5
3,和平光束,一束蓝光从天而降，辐射了整片区域，在这种光线的影响下，区域里的所有生物都对捕食充满了厌恶，他们宁愿饿死。,捕食效率*0,5
4,小偷,因为守卫的疏忽，一群鬼鬼祟祟的家伙盯上了我们的仓库，在一个无光的夜晚之后，我们的仓库被彻底清空,生物质储备归0,1
5,繁殖之灾,一种诡异的疾病在你的种群之间蔓延，你们都无法停止地繁衍后代，不论雌雄，都在生子,每回合开始时固定消耗生物质进行一次繁殖,5
6,农场主,不知道从什么时候开始，你发现你的同伴们以稳定的数量每天消失，看来你们的“农场主”准备动手了,种群数量-5,6
7,大逃荒,瘟疫袭击了整片区域，从现在开始你们能发现的猎物越来越少了,捕食效率减半,8
8,永夜,在一个平平无奇的夜晚到来之后，你惊讶的发现，这个夜晚漫长的吓人，知道后来你才知道，这场夜晚持续了一年,化合效率减半,8
9,永日,在一个平平无奇的白天到来之后，你惊讶的发现，这个白天漫长的吓人，知道后来你才知道，这场白天持续了一年,捕食效率减半，化合效率减半,4
10,腐败之灾,你无法理解，为什么放在仓库好好的食物突然就变绿了，而且变绿的速度非常快，知道这种现象结束你也没明白过来,生物质储备-10,1
