ID,事件名称,事件简介,事件效果,持续回合数
1,生物大爆发,尽管不知道是从何处传来的消息，但是你发觉同伴身上多出了各种各样的生物部件，许多年后，这段时间被称为“生物大爆发”,变异消耗减半,3
2,天降横财,一只伤痕累累的巨兽在你们的势力范围游荡，并在你们惊惧的目光之中倒在了你们的巢穴边上，大餐时间到。,生物质+50,4
3,天敌消失,一种突如其来的疾病席卷了这片区域，大部分生物都对这种疾病免疫，除了你们的天敌，在确认他们的灭绝之后你们欢呼起来,捕食效率*4,3
4,完美环境,你们几乎不能确定，是你们完全进化到适应了这个环境，还是这个环境彻底被你们改造到适应你们，总之，这里舒适得就像你们的生命之源,化合效率*4,3
5,流浪同胞,在一次狩猎之中，你们遇见了和你们长得一模一样的生物，在彼此打量和交流之后，你才确定这是一支在很早以前就过上了流浪生活的同伴，而今天他们找回了他们的家乡,种群数量翻倍,1
6,变异时间,又一个“生物大爆发”的时间段来临了，你和你的同伴身上每天都长出了新的生物部件,获得随机5个器官,1
7,变形绿泥,在一次意外之中，你意外碰到了一团洞穴中的绿色凝胶，随后令人惊讶的事情出现了：这团凝胶变形成了许多和你长得一模一样的存在,种群数量+10,1
8,附属种族,在漫长的演进之中，你们周围那支依靠你们生存的种族终于把服从刻进了DNA，现在你们有了狩猎的帮手了,捕食效率+8,3
9,共生种族,在漫长的进化中，因为一次意外，一种原本无法移动的植物把根须从地上移到了你的身体里,化合效率+8,3
10,不可见之手,不知道从什么时候开始，你们的巢穴每天早上都会出现一大堆食物，但是不管你们怎么蹲守也守不到放置这些食物的家伙,生物质+20,8
