ID,事件名称,事件简介,事件效果,持续回合
1,外来捕食者,一群被驱逐出原来的生态环境的捕食者们意外来到了这里，很快，他们发现这里简直是他们的天堂,下回合捕食效率-3,1
2,鲸落,不知为何，一大团生物质从天而降，也许是上天的恩赐？容不得多想，再不去争夺它就要被吃光了,下回合捕食效率翻倍,1
3,高温,火山爆发带来的许多影响，其中最为严重的是高温，那些肥硕巨大的种群都开始发生了减员,脂肪度超过10时，数量-50%；脂肪度未超10，数量-20%,1
4,变异个体,你意外地发现你种群中那个最瘦弱的同伴发生了变异，看来他身体的营养都被用于这个新部件的发育,你的下次变异消耗为0,1
5,神秘失踪,在一次狩猎行动之后，你发现你种群中有个家伙举止十分可疑，总是喜欢独自呆在巢穴的角落，在一次出行后，你们永远失去了他,种群数量-1（最小为1）,1
6,新生儿,丰富的食物储备让你们的日子过得相当舒心，你惊喜地发现你们的种群即将迎来新的成员,种群数量+1,1
7,低温,寒流袭击了这片区域，迅速降低的温度冻死了许多小家伙，你们也只能彼此依偎着取暖,脂肪度未超过10时，数量-50%；脂肪度超过10，数量-20%,1
8,守株待我,在一次狩猎活动中，一名队员发现了一块落在地上的生物质，他下意识地靠了过去，随后一张大嘴从地上出现，吞没了他的身体和那团生物质,种群数量-1（最小为1）,1
9,渔翁得利,一名成员意外发现了附近的两支种群正在厮杀，本想埋伏他们的你突然想起自己记得他们的巢穴位置，当这两支种群回到巢穴时，只看见了空空如也的仓库,生物质+10,1
10,复仇者,一名复仇者悄悄潜伏到了你们的狩猎区域，你甚至记不清他到底什么时候和你们结下的梁子，但你可以确定的是，这家伙严重影响了自己的狩猎,下回合捕食效率-3,1
11,懒惰病,在生活逐渐富足的当下，你突然发现你的同伴们变得懒惰起来，如果仓库里的食物没有清空，他们绝对不会出去狩猎,下回合捕食效率-2,1
12,音乐陷阱,在一次外出之中，你们突然听到了一个深坑中一阵动人的音乐，你的一名同伴情不自禁地走了过去，随后你们就再也没看见过他,种群数量-1（最小为1）,1
13,巨兽跟班,周边地区最近来了一只巨兽，他摧毁了所有顶尖的猎食者的生态位，幸运的是，他并不在乎从嘴边漏下的碎肉，也不在乎跟在他身边的你们,下回合捕食效率+3,1
14,白骨神殿,令人惊讶，你们发现了一处被白骨包裹的精美建筑，但是为什么没人居住呢？一夜之后你们表皮上长出的白骨外壳告诉了你们答案,下回合化合效率-2,1
15,阳光明媚,今天是个好日子，你们已经很久没有享受过如此适合你们的温度了,下回合化合效率+2,1
16,怪胎降世,今天你们又迎来了一位新成员，这本来是个好消息，但是这个小家伙那迥乎不同的外表让你们开始疑惑起来，这真的是你们的同族吗,种群数量+1；下回合生物质总消耗+1,1
17,守肉待你,一只挂在树上的倒霉蛋的尸体被你们发现了，但是当你们走到树下时，钻出来的触须告诉了你们倒霉蛋死掉的原因,速度超过5时，数量-2；数量未超过5时，数量-3,1
18,毒气尸体,一只巨兽的尸体倒在了一处一直冒绿色雾气的坑洞，一边庆幸自己躲开了的你一边思考他的尸体还能不能食用，坏消息，只有一部分能,种群数量-1；生物质+10,1
19,冰封先祖,在一次狩猎活动中，你们误入了一处地穴，在里面发现一块巨大的冰块，冰块中有个长得和你们一模一样的家伙，费劲努力之后，你终于救出了不知何时你的先祖,种群数量+1；生物质-5,1
20,多云天气,不知道多少层的云层将天空完全覆盖，那些想要放弃狩猎的家伙有难了,下回合化合效率-1,1
21,物竞天择,长时间的互相选择让你和你的猎物都朝着更快的方向进化，那些尚未进化得不够快的种族都开始陷入饥饿的灾难之中,速度未超过5时，捕食效率/2；速度超过5时，捕食效率*2,1
22,地热利用者,这片地区逐渐被灼热的蒸汽和滚烫的热泉侵占，相较于遥不可及的阳光，你们低下了头，看向更方便的地下。,下回合化合效率*2,1
23,百年战争,阳光有限而生物无限，你们深知这个道理，其他种族将自己进化得越来越高，覆盖面积越来越大，在这场争夺阳光的战争中，你们也不能落后,脂肪度未超过10时，化合效率/2；脂肪度超过10时，化合效率*2,1
24,天火降临,在一个乌云密布的午后，一道刺眼的白光从天而降，随后无数白光紧跟其后，你们躲在巢穴中瑟瑟发抖，当你们走出洞穴时，眼前是满目疮痍，以及无数死去的家伙,下回合化合效率/2；下回合捕食效率/2；生物质+20,1
25,被拟态者,你惊讶地发现在你的狩猎区中出现的同伴已经超过你们的总数量了，在排查了三遍你才确认，有别的家伙能够伪装成你们的模样，真是个坏消息,下回合捕食效率/2,1
26,拟态者,在长期的演进中，你们突然发现，与其自己捕猎，不如狐假虎威，你们练就了伪装的能力，这下广大的狩猎区都将向你们开放,下回合捕食效率*2,1
27,新的天敌,一支新的种族来到了这片地区，而你惊讶地发现，这支种族简直是为了捕猎你们而生，真是见鬼！,数量-5（最小为1）,1
28,新的猎物,一支新的种族来到了这片地区，而你惊讶地发现，这支种族简直是为了被你们捕猎而生，你还从没见过如此好抓的猎物。,生物质+10,1
29,桃花源记,一次地震摧毁了你们原本生存的巢穴，但是正所谓祸福相依，在巢穴底部出现了一个大洞，顺着隧道你们来到了一处从没见过的猎场，太棒了！,生物质-10；下回合捕食效率*2,1
